qseid,sscinames,nOTU
OTU_43,Potamochoerus porcus,12S_OTU_84
OTU_4190,Priocnemis perturbator,12S_OTU_85
OTU_185,Rastrelliger kanagurta,12S_OTU_86
OTU_1654,Rhagium mordax,12S_OTU_87
OTU_31,Rhinosciurus laticaudatus,12S_OTU_88
OTU_8,Rusa unicolor,12S_OTU_89
OTU_54,Sardinella fijiensis,12S_OTU_90
OTU_191,Sardinella hualiensis,12S_OTU_91
OTU_4760,Scarabaeidae,12S_OTU_92
OTU_4760,Scarabaeidae,12S_OTU_92
OTU_4760,Scarabaeidae,12S_OTU_92
OTU_4760,Scarabaeidae,12S_OTU_92
OTU_4760,Scarabaeidae,12S_OTU_92
OTU_4760,Scarabaeidae,12S_OTU_92
OTU_4760,Scarabaeidae,12S_OTU_92
OTU_1061,Scotopteryx bipunctaria,12S_OTU_93
OTU_1607,Scotopteryx bipunctaria,12S_OTU_93
OTU_2444,Scotopteryx bipunctaria,12S_OTU_93
OTU_3099,Scotopteryx bipunctaria,12S_OTU_93
OTU_2772,Sesia apiformis,12S_OTU_94
OTU_3311,Sphecodes monilicornis,12S_OTU_95
OTU_137,Squalius cephalus,12S_OTU_96
OTU_38,Sundamys annandalei,12S_OTU_97
OTU_179,Sundasciurus tenuis,12S_OTU_98
OTU_3197,Sus scrofa,12S_OTU_99
OTU_5,Sus sp,12S_OTU_100
OTU_5,Sus sp,12S_OTU_100
OTU_5,Sus sp,12S_OTU_100
OTU_642,Tachycineta bicolor,12S_OTU_101
OTU_173,Tragulus javanicus,12S_OTU_102
OTU_80,Trichiurus japonicus,12S_OTU_103
OTU_203,Trichiurus lepturus,12S_OTU_104
OTU_144,Tupaia glis,12S_OTU_105
OTU_51,Varanus bengalensis,12S_OTU_106
OTU_2462,Xestobium rufovillosum,12S_OTU_107
OTU_2734,Xestobium rufovillosum,12S_OTU_107
OTU_5206,Xestobium rufovillosum,12S_OTU_107
OTU_1049,Zeuzera pyrina,12S_OTU_108
OTU_1476,Zeuzera pyrina,12S_OTU_108
OTU_5134,Zeuzera pyrina,12S_OTU_108
