qseid,sscinames,nOTU
OTU_307,Homo sapiens,16S_nOTU_18
OTU_309,Lasioglossum lativentre,16S_nOTU_19
OTU_31,Homo sapiens,16S_nOTU_18
OTU_33,Macaca mulatta,16S_nOTU_23
OTU_34,Macaca mulatta,16S_nOTU_23
OTU_345,Lochmaea capreae,16S_nOTU_21
OTU_355,Macaca mulatta,16S_nOTU_23
OTU_36,Pan troglodytes,16S_nOTU_37
OTU_37,Colobus angolensis palliatus,16S_nOTU_11
OTU_377,Sus scrofa,16S_nOTU_50
OTU_38,Macaca mulatta,16S_nOTU_23
OTU_395,Onthophagus taurus,16S_nOTU_33
OTU_4,Rusa unicolor,16S_nOTU_46
OTU_40,Pygathrix nemaeus,16S_nOTU_42
OTU_406,Elephas maximus,16S_nOTU_13
OTU_41,Rhinopithecus roxellana,16S_nOTU_44
OTU_42,Homo sapiens,16S_nOTU_18
OTU_43,Varanus bengalensis,16S_nOTU_55
OTU_438,Sus scrofa,16S_nOTU_50
OTU_44,Nycticebus coucang insularis,16S_nOTU_31
OTU_442,Sus scrofa,16S_nOTU_50
OTU_445,Oppiella nova,16S_nOTU_34
OTU_454,Homo sapiens,16S_nOTU_18
OTU_458,Sus scrofa,16S_nOTU_50
OTU_46,Homo sapiens,16S_nOTU_18
OTU_47,Homo sapiens,16S_nOTU_18
OTU_470,Sus scrofa,16S_nOTU_50
OTU_494,Paragymnopleurus maurus,16S_nOTU_40
OTU_5,Gallus gallus,16S_nOTU_16
OTU_50,Sus sp,16S_nOTU_51
OTU_50,Sus sp,16S_nOTU_51
OTU_517,Homo sapiens,16S_nOTU_18
OTU_52,Macaca mulatta,16S_nOTU_23
OTU_529,Macaca fascicularis,16S_nOTU_22
OTU_53,Pan troglodytes,16S_nOTU_37
OTU_54,Macaca mulatta,16S_nOTU_23
OTU_55,Macaca mulatta,16S_nOTU_23
OTU_56,Macaca mulatta,16S_nOTU_23
OTU_58,Macaca mulatta,16S_nOTU_23
OTU_581,Homo sapiens,16S_nOTU_18
OTU_6,Galeopterus variegatus,16S_nOTU_15
OTU_60,Canis lupus familiaris,16S_nOTU_6
OTU_63,Cynopterus brachyotis,16S_nOTU_12
OTU_633,Sus scrofa,16S_nOTU_50
OTU_64,Macaca mulatta,16S_nOTU_23
OTU_641,Sus scrofa,16S_nOTU_50
OTU_65,Macaca mulatta,16S_nOTU_23
OTU_661,Macaca fascicularis,16S_nOTU_22
OTU_67,Bos taurus,16S_nOTU_3
OTU_68,Sus scrofa,16S_nOTU_50
OTU_70,Elephas maximus,16S_nOTU_13
OTU_709,Catharsius molossus,16S_nOTU_7
OTU_71,Meyerozyma guilliermondii,16S_nOTU_29
OTU_717,Macaca fascicularis,16S_nOTU_22
OTU_72,Callosciurus notatus,16S_nOTU_5
OTU_728,Onthophagus sp. 7 SB-2018,16S_nOTU_32
OTU_73,Manis javanica,16S_nOTU_27
OTU_74,Mandrillus leucophaeus,16S_nOTU_26
OTU_75,Homo sapiens,16S_nOTU_18
OTU_769,Sus scrofa,16S_nOTU_50
OTU_772,Macaca mulatta,16S_nOTU_23
OTU_78,Macaca mulatta,16S_nOTU_23
OTU_79,Microhyla mantheyi,16S_nOTU_30
OTU_8,Tragulus javanicus,16S_nOTU_52
OTU_80,Macaca nigra,16S_nOTU_24
OTU_820,Homo sapiens,16S_nOTU_18
OTU_87,Homo sapiens,16S_nOTU_18
OTU_9,Bos taurus,16S_nOTU_3
OTU_90,Macaca mulatta,16S_nOTU_23
OTU_906,Sus scrofa,16S_nOTU_50
OTU_914,Homo sapiens,16S_nOTU_18
OTU_93,Tupaia belangeri,16S_nOTU_53
OTU_95,Homo sapiens,16S_nOTU_18
OTU_96,Homo sapiens,16S_nOTU_18
OTU_97,Family Cercopithecidae,16S_nOTU_14
OTU_97,Family Cercopithecidae,16S_nOTU_14
OTU_97,Family Cercopithecidae,16S_nOTU_14
OTU_97,Family Cercopithecidae,16S_nOTU_14
OTU_97,Family Cercopithecidae,16S_nOTU_14
OTU_983,Sus scrofa,16S_nOTU_50
OTU_99,Macaca sp,16S_nOTU_25
OTU_99,Macaca sp,16S_nOTU_25
