qseid,sscinames,nOTU
OTU_1,Homo sapiens,16S_nOTU_18
OTU_10,Callosciurus notatus,16S_nOTU_5
OTU_101,Anas platyrhynchos,16S_nOTU_1
OTU_103,Chlorocebus aethiops,16S_nOTU_9
OTU_106,Canis lupus familiaris,16S_nOTU_6
OTU_109,Limnonectes malesianus,16S_nOTU_20
OTU_11,Paradoxurus hermaphroditus,16S_nOTU_39
OTU_111,Macaca mulatta,16S_nOTU_23
OTU_113,Macaca mulatta,16S_nOTU_23
OTU_116,Macaca mulatta,16S_nOTU_23
OTU_12,Rhinosciurus laticaudatus,16S_nOTU_45
OTU_127,Macaca mulatta,16S_nOTU_23
OTU_13,Potamochoerus porcus,16S_nOTU_41
OTU_138,Sus scrofa,16S_nOTU_50
OTU_14,Sundasciurus tenuis,16S_nOTU_49
OTU_141,Macaca mulatta,16S_nOTU_23
OTU_142,Macaca nigra,16S_nOTU_24
OTU_143,Macaca mulatta,16S_nOTU_23
OTU_145,Macaca mulatta,16S_nOTU_23
OTU_147,Silvanus unidentatus,16S_nOTU_47
OTU_148,Maxomys ochraceiventer,16S_nOTU_28
OTU_15,Macaca fascicularis,16S_nOTU_22
OTU_153,Macaca mulatta,16S_nOTU_23
OTU_16,Macaca fascicularis,16S_nOTU_22
OTU_164,Macaca mulatta,16S_nOTU_23
OTU_165,Sundamys annandalei,16S_nOTU_48
OTU_166,Papio anubis,16S_nOTU_38
OTU_17,Homo sapiens,16S_nOTU_18
OTU_173,Chlorocebus sabaeus,16S_nOTU_10
OTU_177,Homo sapiens,16S_nOTU_18
OTU_18,Babyrousa babyrussa,16S_nOTU_2
OTU_183,Homo sapiens,16S_nOTU_18
OTU_187,Oryx dammah,16S_nOTU_35
OTU_19,Ovis aries,16S_nOTU_36
OTU_190,Tupaia glis,16S_nOTU_54
OTU_191,Macaca sp,16S_nOTU_25
OTU_191,Macaca sp,16S_nOTU_25
OTU_193,Cetonia aurata,16S_nOTU_8
OTU_194,Macaca mulatta,16S_nOTU_23
OTU_2,Sus scrofa,16S_nOTU_50
OTU_20,Rattus lutreolus,16S_nOTU_43
OTU_21,Haliastur indus,16S_nOTU_17
OTU_22,Bubalus bubalis,16S_nOTU_4
OTU_223,Sus scrofa,16S_nOTU_50
OTU_23,Homo sapiens,16S_nOTU_18
OTU_24,Sundamys annandalei,16S_nOTU_48
OTU_246,Macaca mulatta,16S_nOTU_23
OTU_25,Homo sapiens,16S_nOTU_18
OTU_26,Homo sapiens,16S_nOTU_18
OTU_262,Sus scrofa,16S_nOTU_50
OTU_27,Homo sapiens,16S_nOTU_18
OTU_28,Homo sapiens,16S_nOTU_18
OTU_283,Galeopterus variegatus,16S_nOTU_15
OTU_29,Macaca mulatta,16S_nOTU_23
OTU_293,Canis lupus familiaris,16S_nOTU_6
OTU_297,Tupaia glis,16S_nOTU_54
OTU_3,Macaca fascicularis,16S_nOTU_22
OTU_30,Tupaia glis,16S_nOTU_54
OTU_300,Family Cercopithecidae,16S_nOTU_14
OTU_300,Family Cercopithecidae,16S_nOTU_14
OTU_300,Family Cercopithecidae,16S_nOTU_14
