,Onthophagus crassicollis,Onthophagus deliensis,Onthophagus trituber,Onthophagus waterstradti
XROTU_01,0,9,0,11
XROTU_02,1,11,1,5
XROTU_04,0,4,0,11
XROTU_05,0,1,0,4
XROTU_20,0,2,0,2
XROTU_03,0,2,1,0
XROTU_31,0,1,0,2
XROTU_09,0,2,0,0
XROTU_18,0,1,0,1
XROTU_06,0,0,0,1
XROTU_07,0,0,0,1
XROTU_08,0,1,0,0
XROTU_25,0,0,0,1
XROTU_37,0,1,0,0
