sn,sample,set_time,gut,storage,cq,log,dna_amt,dna_c_n,log_dna_c_n
59,2h.05,2,Full,Ethanol + Freeze,22.2823313,-5.563278165,2.89E-06,28360.79033,4.452718329
60,2h.06,2,Full,Ethanol + Freeze,22.3003184,-5.570572794,2.84E-06,27890.45112,4.445455539
61,2h.07,2,Partially full,Ethanol + Freeze,24.87892455,-6.616321092,2.59E-07,2536.715305,3.404271729
62,2h.08,2,Full,Ethanol + Freeze,25.01141866,-6.670053801,2.29E-07,2242.712238,3.350773553
63,2h.09,2,Full,Ethanol + Freeze,24.9438812,-6.642664125,2.43E-07,2388.051446,3.378043679
64,2h.10,2,Full,Ethanol only,25.20753102,-6.749586754,1.90E-07,1868.907236,3.271587745
65,2h.11,2,Full,Ethanol only,25.38534395,-6.821698416,1.61E-07,1584.130068,3.199790837
66,2h.12,2,Full,Ethanol only,25.75542143,-6.971782558,1.14E-07,1122.953527,3.050361784
67,2h.13,2,Partially full,Ethanol only,21.44355645,-5.223114792,6.30E-06,61858.15395,4.791396955
68,2h.14,2,Full,Ethanol only,26.15768817,-7.134920986,7.87E-08,772.5656999,2.887935423
69,2h.15,2,Full,Ethanol only,24.10054482,-6.300650833,5.33E-07,5230.752236,3.718564149
70,2h.16,2,Full,Ethanol only,24.71294784,-6.549009587,3.02E-07,2959.984472,3.471289433
71,2h.17,2,Full,Ethanol only,25.08603714,-6.700315169,2.13E-07,2092.397874,3.32064427
72,2h.18,2,Full,Ethanol only,24.57358687,-6.492492039,3.43E-07,3369.459902,3.527560292
73,3h.01,3,Partially full,Ethanol + Freeze,27.11724822,-7.524068548,3.23E-08,316.5821429,2.500486414
74,3h.02,3,Partially full,Ethanol + Freeze,NaN,NA,NA,NA,NA
75,3h.03,3,Full,Ethanol + Freeze,23.34169862,-5.992902353,1.08E-06,10591.79013,4.024969367
76,3h.04,3,Partially full,Ethanol + Freeze,26.40031997,-7.233319805,6.28E-08,616.5468676,2.789966096
77,3h.05,3,Empty,Ethanol + Freeze,NaN,NA,NA,NA,NA
78,3h.06,3,Empty,Ethanol + Freeze,23.55804778,-6.080642298,8.83E-07,8661.884519,3.937612389
79,3h.07,3,Empty (with specks),Ethanol + Freeze,30.68866364,-8.972448554,1.17E-09,11.44006008,1.058428305
80,3h.08,3,Empty (with specks),Ethanol + Freeze,26.21582772,-7.158499358,7.46E-08,731.9138503,2.864459966
81,3h.09,3,Empty,Ethanol + Freeze,35.34313877,-10.86006115,1.54E-11,0.151027062,-0.820945225
82,3h.10,3,Partially full,Ethanol only,24.99420698,-6.66307364,2.32E-07,2278.889394,3.357723247
83,3h.11,3,Empty,Ethanol only,35.97136513,-11.11483702,8.58E-12,0.08421529,-1.074609053
84,3h.12,3,Full,Ethanol only,25.53421962,-6.882074628,1.41E-07,1379.361677,3.139678156
85,3h.13,3,Partially full,Ethanol only,25.51233766,-6.873200447,1.43E-07,1407.711317,3.148513602
86,3h.14,3,Empty,Ethanol only,NaN,NA,NA,NA,NA
87,3h.15,3,Empty,Ethanol only,34.17953052,-10.38816227,4.54E-11,0.445547394,-0.351106093
88,3h.16,3,Empty,Ethanol only,33.04873492,-9.929570494,1.30E-10,1.274923176,0.105484016
89,3h.17,3,Empty,Ethanol only,NaN,NA,NA,NA,NA
90,3h.18,3,Partially full,Ethanol only,25.16177065,-6.731028732,1.99E-07,1950.135397,3.290064765
91,6h.01,6,Full,Ethanol + Freeze,23.9307669,-6.231797752,6.24E-07,6125.149594,3.7871167
92,6h.02,6,Empty (with specks),Ethanol + Freeze,24.30396406,-6.383147075,4.41E-07,4329.402728,3.636427986
93,6h.03,6,Partially full,Ethanol + Freeze,31.57710821,-9.332755376,5.10E-10,5.008344014,0.699694152
94,6h.04,6,Partially full,Ethanol + Freeze,31.10802655,-9.142520299,7.90E-10,7.746381649,0.88909889
95,6h.05,6,Partially full,Ethanol + Freeze,26.50275239,-7.274861055,5.71E-08,560.5394271,2.748606165
96,6h.06,6,Empty (with specks),Ethanol + Freeze,31.78932343,-9.418818812,4.19E-10,4.111557486,0.614006367
97,6h.07,6,Full,Ethanol + Freeze,21.33218916,-5.177950022,6.99E-06,68606.39347,4.83636459
98,6h.08,6,Empty (with specks),Ethanol + Freeze,33.28679954,-10.0261171,1.04E-10,1.021783349,0.009358821
99,6h.09,6,Empty (with specks),Ethanol + Freeze,23.14792452,-5.914317672,1.29E-06,12682.68017,4.103211041
100,6h.10,6,Empty,Ethanol only,34.35590367,-10.45969003,3.85E-11,0.378162405,-0.422321648
