"","qseid","sscinames","n"
"1","OTU_1","Homo sapiens",500
"2","OTU_1001","Leptobrachium nigrops",5
"3","OTU_1027","Callosciurus notatus",3
"4","OTU_104","Mallotus villosus",2
"5","OTU_1042","Cylloceria caligata",8
"6","OTU_1049","Zeuzera pyrina",63
"7","OTU_1059","Homo sapiens",500
"8","OTU_1061","Scotopteryx bipunctaria",1
"9","OTU_1063","Homo sapiens",5
"10","OTU_1077","Homo sapiens",5
"11","OTU_11","Oreochromis niloticus",1
"12","OTU_11","Oreochromis tanganicae",1
"13","OTU_1117","Onthophagus taurus",1
"14","OTU_1123","Macaca mulatta",1
"15","OTU_1123","Macaca thibetana thibetana",1
"16","OTU_1128","Macaca mulatta",2
"17","OTU_113","Homo sapiens",2
"18","OTU_1153","Melanotus villosus",1
"19","OTU_1155","Harpalus rufipes",2
"20","OTU_119","Barbatula barbatula",1
"21","OTU_12","Butastur liventer",1
"22","OTU_121","Homo sapiens",1
"23","OTU_1215","Homo sapiens",2
"24","OTU_123","Paradoxurus hermaphroditus",1
"25","OTU_1252","Aradus depressus",5
"26","OTU_1273","Onthophagus taurus",12
"27","OTU_128","Homo sapiens",1
"28","OTU_1301","Agelastica alni",1
"29","OTU_1304","Onthophagus taurus",1
"30","OTU_1326","Pan troglodytes troglodytes",61
"31","OTU_1352","Oxytorus armatus",1
"32","OTU_1358","Macaca fascicularis aureus",5
"33","OTU_137","Squalius cephalus",9
"34","OTU_1382","Gasterosteus aculeatus",12
"35","OTU_1384","Hemibagrus wyckioides",2
"36","OTU_1393","Neoitamus cyanurus",1
"37","OTU_1394","Aspergillus sydowii CBS 593.65",1
"38","OTU_142","Homo sapiens",10
"39","OTU_1422","Macaca mulatta",1
"40","OTU_1434","Onthophagus taurus",1
"41","OTU_1436","Onthophagus taurus",3
"42","OTU_144","Tupaia glis",2
"43","OTU_1442","Agrilus biguttatus",1
"44","OTU_1447","Phoxinus csikii",8
"45","OTU_1469","Endomychus coccineus",1
"46","OTU_1476","Zeuzera pyrina",2
"47","OTU_1503","Macaca mulatta",1
"48","OTU_1537","Apoda limacodes",1
"49","OTU_158","Homo sapiens",9
"50","OTU_1593","Onthophagus taurus",1
"51","OTU_16","Channa striata",2
"52","OTU_160","Homo sapiens",6
"53","OTU_1607","Scotopteryx bipunctaria",1
"54","OTU_162","Calamaria septentrionalis",5
"55","OTU_164","Onthophagus taurus",2
"56","OTU_1640","Cepaea hortensis",1
"57","OTU_1654","Rhagium mordax",1
"58","OTU_1692","Onthophagus taurus",1
"59","OTU_17","Callosciurus notatus",1
"60","OTU_1725","Dryobota labecula",1
"61","OTU_1725","Schoenobius gigantella",1
"62","OTU_173","Tragulus javanicus",1
"63","OTU_1783","Geotrupes spiniger",1
"64","OTU_179","Sundasciurus tenuis",3
"65","OTU_1795","Gymnoscelis rufifasciata",5
"66","OTU_1801","Melanotus villosus",2
"67","OTU_1801","Xestobium rufovillosum",2
"68","OTU_185","Rastrelliger kanagurta",4
"69","OTU_1850","Cryptocephalus moraei",1
"70","OTU_186","Macaca mulatta",1
"71","OTU_189","Encrasicholina punctifer",6
"72","OTU_191","Sardinella hualiensis",1
"73","OTU_193","Macaca mulatta",1
"74","OTU_197","Barbus barbus",6
"75","OTU_2","Gallus gallus",497
"76","OTU_200","Macaca mulatta",1
"77","OTU_203","Trichiurus lepturus",1
"78","OTU_2081","Onthophagus taurus",2
"79","OTU_212","Homo sapiens",6
"80","OTU_2163","Onthophagus taurus",1
"81","OTU_217","Homo sapiens",3
"82","OTU_2184","Othius punctulatus",3
"83","OTU_221","Babyrousa babyrussa",3
"84","OTU_2216","Onthophagus taurus",1
"85","OTU_23","Galeopterus variegatus peninsulae",1
"86","OTU_234","Macaca mulatta",1
"87","OTU_235","Cetonia aurata",1
"88","OTU_2382","Aphodius sticticus",1
"89","OTU_2389","Homo sapiens",3
"90","OTU_2394","Homo sapiens",1
"91","OTU_2444","Scotopteryx bipunctaria",2
"92","OTU_2462","Xestobium rufovillosum",1
"93","OTU_248","Homo sapiens",5
"94","OTU_2480","Apoderus coryli",1
"95","OTU_2495","Ctenicera cuprea",1
"96","OTU_2517","Macaca mulatta",1
"97","OTU_2595","Galeruca laticollis",1
"98","OTU_2595","Melanotus villosus",1
"99","OTU_260","Homo sapiens",2
"100","OTU_2619","Endomychus coccineus",1
"101","OTU_2621","Phosphuga atrata",1
"102","OTU_2647","Melolontha melolontha",1
"103","OTU_265","Macaca mulatta;Macaca maura",1
"104","OTU_2651","Melolontha melolontha",1
"105","OTU_268","Homo sapiens",3
"106","OTU_272","Homo sapiens",2
"107","OTU_2734","Xestobium rufovillosum",4
"108","OTU_2772","Sesia apiformis",1
"109","OTU_278","Heosemys grandis",1
"110","OTU_279","Homo sapiens",2
"111","OTU_2873","Macaca fascicularis",20
"112","OTU_2883","Homo sapiens",1
"113","OTU_290","Leuciscus leuciscus",3
"114","OTU_2977","Otus lettia",1
"115","OTU_298","Homo sapiens",1
"116","OTU_299","Homo sapiens",1
"117","OTU_3004","Lasioglossum pauxillum",1
"118","OTU_3009","Melolontha melolontha",1
"119","OTU_3040","Meyerozyma guilliermondii ATCC 6260",1
"120","OTU_3099","Scotopteryx bipunctaria",1
"121","OTU_31","Rhinosciurus laticaudatus",1
"122","OTU_3197","Sus scrofa",457
"123","OTU_320","Macaca mulatta",1
"124","OTU_3202","Melanotus villosus",1
"125","OTU_321","Macaca mulatta",1
"126","OTU_3285","Phosphuga atrata",5
"127","OTU_3311","Sphecodes monilicornis",1
"128","OTU_332","Macaca mulatta",1
"129","OTU_3341","Micropterix aruncella",1
"130","OTU_340","Macaca mulatta",1
"131","OTU_3439","Manis javanica",16
"132","OTU_3489","Melanotus villosus",1
"133","OTU_35","Bos taurus",486
"134","OTU_3523","Lasioglossum pauxillum",1
"135","OTU_3598","Homo sapiens",6
"136","OTU_364","Otus scops",3
"137","OTU_3679","Harpalus rubripes",1
"138","OTU_372","Homo sapiens",1
"139","OTU_3733","Aphodius sticticus",1
"140","OTU_375","Homo sapiens",11
"141","OTU_379","Onthophagus taurus",2
"142","OTU_38","Sundamys annandalei",1
"143","OTU_389","Cottus gobio",2
"144","OTU_39","Decapterus maruadsi",3
"145","OTU_390","Kalophrynus sp. KUHE 53284",1
"146","OTU_391","Carassius auratus",33
"147","OTU_393","Macaca mulatta",1
"148","OTU_3937","Melanotus villosus",3
"149","OTU_399","Macaca mulatta",1
"150","OTU_4067","Caradrina clavipalpis",1
"151","OTU_4190","Priocnemis perturbator",1
"152","OTU_420","Meyerozyma guilliermondii",2
"153","OTU_423","Onthophagus taurus",16
"154","OTU_427","Amblygaster sirm",3
"155","OTU_43","Potamochoerus porcus",15
"156","OTU_438","Onthophagus taurus",1
"157","OTU_440","Homo sapiens",3
"158","OTU_4402","Macaca mulatta",1
"159","OTU_4469","Athripsodes cinereus",1
"160","OTU_4734","Alloplasta piceator",1
"161","OTU_4760","Anomala clathrata",2
"162","OTU_4760","Anomala cupricollis",2
"163","OTU_4760","Anomala testaceipennis",2
"164","OTU_4760","Anomala tuberculata",2
"165","OTU_4760","Callistethus lativittis",2
"166","OTU_4760","Callistethus microxantholeus",2
"167","OTU_4760","Callistethus schneideri",2
"168","OTU_4764","Crioceris asparagi",1
"169","OTU_4818","Patella pellucida",1
